1. 風量 | Air volume
42. 膨脹槽 | Expansion Tank
43. 電源變壓器 | Power Transformer
44. 斷路器 | Circuit Breaker
45. 熔斷器 | Fuse
46. 接線端子 | Terminal Block
47. 電纜 | Cable
48. 電線 | Wire
49. 插頭 | Plug
50. 開關 | Switch
1. 空調、通風設備 | Air-Conditioning and Ventilation System
2. 設備器材 | Equipment and Materials
3. 電氣設施 | Electrical Facilities
4. 自動控制系統 | Automatic Control System
5. 電盤 | Electrical Panel
6. 配線 | Wiring
7. 配管 | Piping
8. 細部設計圖 | Detailed Design Drawing
9. 施工圖 | Construction Drawing
10. 竣工圖 | As-Built Drawing
11. 設備型錄 | Equipment Catalogue
12. 運轉、維護手冊 | Operation and Maintenance Manual
13. 風機設備所需之圍堰 | Enclosure for Blower
14. 雨披（不銹鋼遮罩含防蟲網） | Rain Hood (Stainless Steel Cover with Insect Screen)
15. 風管 | Air Duct
16. 水管 | Water Pipe
17. 管路配件 | Pipe Fittings
18. 閥 | Valve
19. 流量計 | Flow Meter
20. 吊架 | Hanger
21. 冷卻水進出口 | Cooling Water Inlet/Outlet
22. 排水之相關閥件、儀錶 | Drain Valve, Gauge
23. 油漆 | Paint
24. 吊架支撐 | Hanger Support
25. 配管管材 | Piping Material
26. 管件及管件施工需求 | Pipe and Pipe Fitting Requirement
28. 保溫材 | Insulation Material
29. 保溫工程 | Insulation Work
30. 防振動、防地震設施 | Vibration and Earthquake Resistant Device
31. 避震設備 | Vibration Damping Device
32. 相關之防地震設施 | Earthquake Resistant Facility
33. 相關之計算書、安裝方式 | Related Calculation, Installation Method
34. 火災分隔 | Fire Segmentation
35. 防火填塞 | Fire Stop
36. 既有之防火填塞 | Existing Fire Stop
37. 修復復原之工程 | Repair and Restoration Work
38. 建築相關材料或附件 | Architectural Materials or Accessories
39. 建築物破壞之修復 | Building Damage Repair
40. 建築技術規則 | Building Code
41. 經濟部屋內外線路裝置規則 | Electrical Installation Code for Residential and Commercial Buildings
42. 台電相關規範 | Taiwan Power Company (TPC) Regulations
1. 溫度 | Temperature
2. 相對濕度 | Relative Humidity
3. 防地震需求 | Seismic Requirements
4. 尺寸 | Dimensions
5. 重量 | Weight
6. 負載 | Load
7. 開口尺寸 | Aperture Size
8. 動力需求 | Power Demand
9. 額定值 | Rated Value
10. 容量 | Capacity
11. 壓縮機性能曲線 | Compressor Performance Curve
12. 風機性能曲線 | Fan Performance Curve
13. 靜壓 | Static Pressure
14. 馬力 | Horsepower
15. 效率 | Efficiency
16. 壓縮機 | Compressor
17. 風機 | Fan
19. 冷凍噸 | Refrigerant Ton
20. 空調設備 | Air Conditioner
21. 音功率 | Sound Power
22. 風機材料 | Fan Material
23. 測試報告 | Test Report
24. 電氣設備接線圖 | Electrical Circuit Diagram
25. 控制圖 | Control Diagram
26. 馬達電氣特性 | Motor Electrical Characteristics
27. 施工計畫書 | Construction Plan
28. 原圖 | Original Drawing
29. 縮圖 | Reduced Drawing
30. 光碟 | Optical Disc
33. 動平衡測試 | Dynamic Balancing Test
34. 靜平衡測試 | Static Balancing Test
35. 轉速不穩 | Speed Fluctuation
36. 油脂 | Grease
37. 油嘴 | Grease Nipple
38. 延伸黃油管 | Extended Grease Pipe
39. 加工面 | Machined Surface
40. 焊接面 | Welding Surface
41. 殘屑 | Debris
42. 焊藥殘渣 | Flux Residue
43. 不鏽鋼名牌 | Stainless Steel Nameplate
44. 渦卷式壓縮機 | Scroll Compressor
45. 冷媒管路 | Refrigerant Piping
46. 電磁閥 | Solenoid Valve
47. 膨脹閥 | Expansion Valve
48. 視窗乾燥器 | Sight Glass
49. 溫度開關 | Temperature Switch
50. 壓力開關 | Press Switch
1. 自動調心式 | Self-aligning
2. 滾珠軸承 | Ball bearing
3. 滾子軸承 | Roller bearing
5. 鼠籠式感應馬達 | Squirrel-cage induction motor
6. 全密閉 | Hermetically sealed
7. 壓縮機運轉表示燈 | Compressor running indicator light
8. 冷媒量不足警示燈 | Refrigerant shortage warning light
9. 風壓開關 | Air pressure switch
10. 高低壓力錶 | High and low pressure gauges
11. 高壓開關 | High pressure switch
12. 連鎖控制接點 | Interlocking control point
14. 迴濾網 | Return air filter
15. 濾網差壓指示燈 | Filter differential pressure indicator light
16. 集水盤 | Drip pan
17. 排水管 | Drain pipe
18. 角鐵 | Angle iron
19. 槽鐵 | Channel steel
20. 全密閉渦卷式冰水主機 | Scroll Hermetic Chiller Units (CH)
28. 充氮焊接 | Nitrogen welding
32. 噴砂及皮膜處理 | Sandblasting and coating
35. 冷媒種類 | Refrigerant type
37. 冷媒系統流程圖 | Refrigerant system flow diagram
38. 冷媒管路 | Refrigerant piping
39. 控制電源用變壓器 | Control power transformer
40. 限流熔絲 | Current-limiting fuse
41. 無熔絲開關 | Fuse-less switch
42. 電路控制圖 | Electrical control diagram
43. 渦卷式冷媒壓縮機 | Scroll-type refrigerant compressor
44. 冷凝器 | Condenser
45. 蒸發器 | Evaporator
46. 潤滑系統 | Lubrication system
47. 冷媒流量控制裝置 | Refrigerant flow control device
48. 驅動馬達 | Drive motor
50. 液壓縮現象 | Liquid compression phenomenon
1. 馬達供應電源 | Power Supply
2. 馬達絕緣等級 | Insulation Level
3. 馬達保護裝置 | Protection Device
4. 馬達最大制動馬力 | Maximum Braking Horsepower
5. 振動量 | Vibration Level
7. 積垢係數 | Fouling Factor
10. 冷媒側設計壓力 | Refrigerant Side Design Pressure
11. 水側設計壓力 | Water Side Design Pressure
12. 水頭損失 | Water Head Loss
13. 潤滑系統 | Lubrication System
14. 無油磁浮軸承 | Oil-Free Magnetic Float Bearing
15. 氣壓軸承 | Air Pressure Bearing
16. 控制盤 | Control Panel
17. 微電腦控制器 | Microcomputer Controller
18. 故障訊息 | Fault Messages
19. 負載限制溫度開關 | Load Limit Temperature Switch
20. 獨立控制電源 | Independent Control Power
21. 冷媒量不足警示燈 | Refrigerant Shortage Warning Light
22. 啟動器 | Starter
23. 屋內線路裝置規則啟動器盤 | Indoor Line Installation Rule Starter Panel
24. 直接啟動 | Direct Startup
25. 避振裝置 | Vibration Isolator
26. 維修工具 | Maintenance Tools
27. 冷媒 | Refrigerant
28. 防凍油 | Anti-Freeze
29. 端吸式 | End Suction
30. 外殼水平型 | Horizontal Shell
31. 鋼鐵機座 | Steel Pedestal
32. 承油盤 | Oil Pan
33. 排油閥 | Oil Drain Valve
34. 排油管 | Oil Drain Pipe
35. 鑄鐵 | Cast Iron
36. 青銅 | Bronze
37. 揚程 | Head
38. 軸承壽命 | Bearing Life
40. 機械軸封 | Mechanical Seal
41. 滾珠軸承 | Ball Bearing
42. 軸承座 | Bearing Housing
43. 軸封室 | Seal Chamber
44. 撓性聯結器 | Flexible Coupling
45. 保護罩 | Cover
46. 彈簧 | Spring
47. 碳化鎢底座 | Tungsten Carbide Base
48. 全密閉風扇冷卻 | Totally Enclosed,Fan-Cooled Type
49. 使用係數 | Service Factor
50. 絕緣等級 | Insulation Level
1. 揚程 | Max Height
2. 額定動力 | Rate Power
3. 裂斷點 | Break Point
6. 風機 | Blower
7. 馬達 | Motor
8. 鰭片 | Fin
9. 離心式風機 | Centrifugal Blower
10. 葉輪 | Impeller
11. 軸 | Shaft
12. 靜態及動態平衡校正 | Static and Dynamic Balance Calibration
13. 滴水盤 | Drip Pan
14. 保溫 | Insulation
15. 撓性金屬軟管 | Flexible Metal Hose
16. 空氣過濾網 | Air Filter
17. 保溫、隔音材 | Insulation, Soundproof Material
18. 火焰阻燃等級 | Flame Retardant Grade
19. 音量等級 | Volume Level
20. 多功能平衡閥 | Multi-Function Balancing Valve
21. 電動控制閥 | Electric Control Valve
22. 手動通氣閥 | Manual Ventilation Valve
23. 排水旋塞閥 | Drain Ball Valve
24. 室內調溫器 | Indoor Thermostat
25. 溫度感測器 | Temperature Sensor
26. 集合式控制裝置 | Centralized Control Device
27. 容量試驗 | Capacity Test
28. 噪音實驗室 | Noise Laboratory
29. 防護柵網 | Protective Grille
30. 逆止風門 | Non-Return Valve
31. 前傾式離心式 | Forward-Curved Centrifugal
32. 鍍鋅鐵皮 | Galvanized Iron
33. 稱呼番號 | Gauge Number
1. 撓性風管 | Flexible Duct
2. 保溫型 | Insulation Type
3. 內管鋁箔加鋼線纏繞 | Inner Aluminum Foil with Steel Wire Strapped 
5. 外層為鋁箔外覆強化纖維線 | Outer Layer is Aluminum Foil Covered with Reinforced Fiber Wire
11. 溫度計：圓盤指示針指示 | Thermometer: Disc Indicator Needle Indicator
12. 不鏽鋼製外殼 | Stainless Steel Housing
16. 壓力錶：線上安裝型 | Pressure Gauge: Inline Installation
18. 磷青銅製布登管 | Phosphor Bronze Bourdon Tube
24. 補給水管（附液位控制） | Supply Water Pipe (with Liquid Level Control)
25. 排水管 | Drainage Pipe
26. 溢水管 | Overflow Pipe
27. 支撐架採用熱浸鍍鋅角鋼製成 | Support Frame Adopts Hot Dip Galvanized Angle Steel
28. 滿水時不得洩漏及變形 | No Leakage or Deformation When Full of Water
31. 風扇應依風量靜壓選擇適當之馬達 | Fan Should Select the Appropriate Motor Based on Air Volume and Static Pressure
34. 電池室風扇馬達應為防爆型 | Battery Room Fan Motor Should Be Explosion-proof
36. 標有尺寸的馬達外型圖 | Dimensioned Motor Outline Drawing
37. 型錄及說明書 | Catalog and Manual
43. 安裝於風機之殼外側 | Installed on the Outside of the Fan Casing
44. 便於維修時切斷電源之用 | For the Convenience of Cutting Off Power During Maintenance
45. 無熔絲開關應符合下列規格： | The Fuse-less Switch Should Meet the Following Specifications:
1. 水冷式箱型冷氣機 | Water-cooled packaged air conditioning unit
2. 冷陰能力 | Cooling capacity
5. 流體操作溫度 | Fluid operating temperature
6. 氣化現象 | Cavitation
7. 孔蝕現象 | Corrosion pitting
8. 平行操作 | Parallel operation
9. 最佳效率曲線中點 | Optimum efficiency curve midpoint
10. 轉速 | Rotational speed
11. 冷水主機 | Chiller
12. 冰水 | Chilled water
13. 冰水泵 | Chiller pump
14. 小型冷風機 | Small air conditioner
16. 箱型風機 | Packaged air handling unit
18. 壁扇 | Wall-mounted fan
19. 防爆型 | Explosion-proof
20. 流體 | Fluid
21. 分電盤 | Distribution panel
22. 低壓分電盤 | Low voltage distribution board
23. 規範書 | Specification
24. 電動馬達 | Electric motor
25. 系統需求 | System requirements
26. 規範 | Specification
27. 接線片 | Wiring terminal
28. 冰水控制閥 | Chilled water control valve
29. 校準 | Calibration
30. 簽認 | Certification
31. 潤滑 | Lubrication
32. 過載 | Overload
33. 效率 | Efficiency
34. 異狀 | Anomaly
35. 明細表 | Schedule
36. 項次 | Item number
37. 備註 | Note
38. 位置 | Location
39. 電力需求 | Electrical requirement
40. 容量 | Capacity
41. 數量 | Quantity
42. 設備編號 | Equipment number
43. 設備名稱 | Equipment name
44. 機控制室 | Engine control room
45. 施工圖 | Construction drawing
46. 附件 | Attachment
47. 流體系統 | Fluid system
48. 暖通空調 | HVAC (Heating, Ventilation, Air Conditioning)
49. 冷凍劑 | Refrigerant
50. 載冷劑 | Refrigerant
1. 製造產地國 | Country of Origin
2. 廠牌 | Brand
3. 型號 | Model
4. 規格 | Specification
5. 空調設備規範 | Air Conditioner Equipment Specification
6. 附件 | Attachment
7. 空調設備請購規範 | Air Conditioner Equipment Procurement Specification
8. 水冷式箱型冷氣機 | Water-cooled Packaged Air Conditioner
9. 水冷式風管型 | Water-cooled Duct Type
10. 銘版 | Nameplate
11. 頻率 | Frequency
12. 機外靜壓值 | External Static Pressure (Pa)
13. 電源 | Power
14. 冷氣能力 | Cooling Capacity
15. 冷媒 | Refrigerant
17. 壓縮機 | Compressor
18. 膏力調整 | Capacity Control
19. 雙壓縮機 | Twin Compressors
20. 獨立冷媒系統 | Independent Refrigerant Systems
21. 係讓補置 | Safety Devices
22. 電源相序保護 | Power Phase Sequence Protection
23. 蒸發器低溫保護 | Evaporator Low Temperature Protection
24. 高、低壓壓力開關 | High and Low Pressure Switches
25. 過電流繼電器 | Overload Relay
26. 送風馬達過載保護 | Blower Motor Overload Protection
27. 壓縮機過熱、遇載保護 | Compressor Overheat and Overload Protection
28. 可熔栓 | Fuse
29. 水冷式箱體冷凝機 | Water-cooled Condensing Unit
30. 出廠前導線短接 | Factory-installed Jumper Wires for Remote Terminals
31. 異常狀態外部接點 | External Dry Contact for Malfunction Status
32. 高、低壓力錶 | High and Low Pressure Gauges
33. 防火閥 | Fire Damper
34. 上、下不鏽鋼滴水盤 | Stainless Steel Drip Pans
35. 出、入風溫度顯示裝置 | Supply and Return Air Temperature Display (Digital with 0.1 Resolution)
37. 曝露噪音量 | Outdoor Sound Level
46. 保固維修手冊 | Maintenance and Warranty Manual
47. 進口證明文件 | Import Certificate
48. 負責任印章 | Seal of Responsibility
49. 保固 | Warranty
50. 售後服務 | After-Sales Service
1. 內部使用之設備 | Interior use equipment
2. 噪音值 | Noise level
3. 風機外殼 | Fan housing
4. 性能曲線 | Performance curve
5. 靜平衡 | Static balance
6. 動平衡 | Dynamic balance
7. 抗摩擦型軸承 | Anti-friction bearing
8. 全密閉籠式感應馬達 | Totally enclosed fan-cooled induction motor (TEFC IM)
9. 控制線路 | Control circuit
10. 順序延時啟用控制 | Sequential time delay start control
11. 空氣過濾網 | Air filter
12. 壓縮機過熱保護器 | Compressor overheat protector
13. 壓縮機過載保護 | Compressor overload protector
14. 馬達過載保護 | Motor overload protector
15. 高低壓開關保護 | High-low pressure switch protection
16. 保溫排水盤 | Insulated drain pan
17. 框架 | Frame
18. 法蘭 | Flange
19. 馬達支架 | Motor bracket
20. 熱浸鍍鋅 | Hot-dip galvanizing
21. 蝸形殼 | Scroll casing
22. 連續鎖定 | Continuous interlocking
23. 側板 | Side panel
24. 金屬保護網 | Metal guard
25. 不銹鋼 | Stainless steel
26. 鑄鋁 | Cast aluminum
27. 實心鋼材 | Solid steel
28. 散熱風扇 | Cooling fan
29. 保護罩 | Protective cover
30. 排水栓 | Drain plug
31. 蒸發器 | Evaporator
32. 鰭片 | Fin
33. 軸承壽命 | Bearing life
34. 抗摩擦軸承製造商協會標準 | Anti-Friction Bearing Manufacturers Association (AFBMA)
36. 溫度式感溫膨脹閥 | Temperature-sensing expansion valve
37. 乾燥過濾器 | Drier filter
38. 冷媒係統高低壓側止逆充填閥 | Refrigerant system high and low pressure check valve
39. 離心式風機 | Centrifugal fan
40. 輪軸 | Axle
41. 鼠籠型感應馬達 | Squirrel-cage induction motor
42. 永冶步冷氣權規根奼 | WATERCOOLEDPACKAGEDTYPEAIRCONDITIONERSCHEDULE
1. 冷卻能力 | Cooling Capacity
2. 加熱能力 | Heating Capacity
3. 能源效率比 | Energy Efficiency Ratio (EER)
4. 季節性能係數 | Seasonal Energy Efficiency Ratio (SEER)
5. 製冷劑 | Refrigerant
6. 電壓 | Voltage
7. 頻率 | Frequency
8. 相位 | Phase
9. 冷氣型式 | Air Conditioner Type
10. 掛牆式 | Wall-Mounted
11. 地板式 | Floor-Mounted
12. 吊隱式 | Cassette-Type
13. 管道式 | Duct-Type
14. 中央空調 | Central Air Conditioner
15. 多聯式空調 | Multi-Zone Air Conditioner
16. 變頻 | Inverter
17. 定頻 | Non-Inverter
18. 遙控器 | Remote Control
19. 過濾網 | Filter Net
20. 濕度控制 | Humidity Control
21. 溫度控制 | Temperature Control
22. 自動清潔 | Self-Cleaning
23. 靜音 | Silent
24. 除臭 | Deodorization
26. 離心風扇 | Centrifugal Fan
27. 排風扇 | Exhaust Fan
28. 新風扇 | Fresh Air Fan
29. 節能 | Energy-Saving
30. 環保 | Environmentally Friendly
31. 智慧控制 | Smart Control
36. 空氣清淨 | Air Purification
37. 健康換氣 | Healthy Ventilation
38.除濕 | Dehumidification
39. 送風量 | Airflow Rate
40. 靜壓 | Static Pressure
41. 風速 | Air Velocity
42. 風量 | Air Volume
43. 風管 | Duct
44. 格柵 | Grille
45. 出風口 | Air Outlet
46. 回風口 | Air Inlet
47. 冷凝器 | Condenser
48. 蒸發器 | Evaporator
49. 冷凍循環 | Refrigeration Cycle
50. 溫度感應器 | Temperature Sensor
1. 噪音值 | Sound Pressure Level
2. 消音 | Sound Attenuation
3. 壓縮機 | Compressor
4. 水冷式冷凝器 | Water-Cooled Condenser
5. 蒸發器 | Evaporator
6. 風機 | Blower
7. 驅動裝置 | Drive Mechanism
8. 過濾器 | Filter
9. 鋼板 | Steel Plate
10. 烤漆塗裝 | Painting and Coating
11. 消音玻璃棉 | Sound-Absorbing Glass Wool
13. 原裝進口壓縮機 | Original Imported Compressor
14. 密閉式壓縮機 | Sealed Compressor
15. 防震裝置 | Anti-Vibration Device
16. 可清洗殼管式冷凝器 | Washable Shell-and-Tube Condenser
17. 雙重管式冷凝器 | Double-Pipe Condenser
18. 耐壓試驗 | Pressure Test
19. 氣密試驗 | Airtightness Test
20. 安全閥 | Safety Valve
21. 自動釋氣閥 | Automatic Air Release Valve
22. 冷凝水管 | Condensate Drain Pipe
23. 排水管 | Drain Pipe
24. 冷凍專用軟質無縫銅管 | Refrigerant-Grade Seamless Copper Tube
25. 鋁質散熱鰭片 | Aluminum Heat Dissipation Fins
26. 液壓擴管 | Hydraulic Expansion
27. 機械擴管 | Mechanical Expansion
29. 風速 | Air Velocity
30. 盤管支架 | Coil Support
31. 直結式離心式風機 | Direct-Drive Centrifugal Blower
32. 皮帶輪驅動式離心式風機 | Belt-Driven Centrifugal Blower
33. 性能曲線 | Performance Curve
34. 鍍鋅鋼板 | Galvanized Steel
35. 鋁製 | Aluminum
36. 靜平衡 | Static Balancing
37. 動平衡 | Dynamic Balancing
38. 抗摩擦型軸承 | Anti-Friction Bearing
40. 全密閉籠式感應馬達 | TEFC Induction Motor
41. 電氣開關 | Electrical Switch
42. 依最新電工法規配線 | Wiring According to Electrical Code
43. 溫度調節裝置 | Temperature Control Device
44. 控制線路 | Control Circuit
45. 線路圖 | Wiring Diagram
46. 壓縮機啟動三分鐘保護 | Compressor Start Three-Minute Protection
47. 壓縮機順序延時啟用控制 | Compressor Sequence Delay Start Control
48. 壓縮機啟用順序切換開關 | Compressor Start Sequence Changeover Switch
49. 不銹鋼板 | Stainless Steel Sheet
50. 保溫排水盤 | Insulation Drain Pan
1. 編號 | Number
2. 壓縮機 | Compressor
3. 最小冷房能力 | Minimum cooling capacity
4. 型式 | Type
5. 參考功率 | Rated power
6. 電源 | Power supply
7. 能源效率 | Energy efficiency
8. 冷媒 | Refrigerant
9. 聲音等級 | Sound level
10. 外型尺寸 | External dimensions
11. 重量 | Weight
12. 風量 | Air volume
13. 風壓 | Air pressure
14. 換熱器 | Heat exchanger
15. 濾網 | Filter
16. 風扇 | Fan
17. 控制系統 | Control system
18. 保固期間 | Warranty period
19. 安裝方式 | Installation method
20. 維護方式 | Maintenance method
21. 使用壽命 | Lifespan
22. 耗電量 | Power consumption
23. 溫度範圍 | Temperature range
24. 濕度範圍 | Humidity range
25. 振動等級 | Vibration level
26. 噪音等級 | Noise level
1. 編號 | Number
2. 壓縮機 | Compressor
3. 全密間渦卷式 | Fully Hermetic Scroll Type
4. 最小冷房能力 | Minimum Cooling Capacity
5. 落地箱型式 | Floor Standing Type
6. 參考功率 | Reference Power
7. 電源 | Power Supply
8. 冷媒 | Refrigerant
9. 能源效率 | Energy Efficiency Ratio (EER)
10. 全密開渦卷式 | Fully Hermetic Open Scroll Type
11. 密閉式 | Hermetic Type
12. 庫房型 | Chamber Type
13. 卡式 | Cassette Type
14. 往復式 | Reciprocating Type
15. 風冷冷凝機 | Air Cooled Condenser Unit
16. 風扇葉片 | Fan Blade
17. 葉輪 | Impeller 
18. 風網 | Filter Net
19. 冷卻器 | Cooling Coil
20. 換熱器 | Heat Exchanger
21. 蒸發器 | Evaporator
22. 冷凝器 | Condenser
23. 鼓風機 | Blower
24. 軸流風扇 | Axial Fan
25. 離心風扇 | Centrifugal Fan
26. 鰭片熱交換器 | Finned Heat Exchanger
27. 管束 | Tube Bundle
28. 集水槽 | Condensate Tray
29. 過濾網  | Filter
30. 自動換季功能  | Auto Seasonal Function
31. 除濕功能  | Dehumidification Function
32. 定時開關  | Timer
33. 睡眠模式  | Sleep Mode
34. 智慧控制  | Smart Control
35. 智能溫控  | Intelligent Temperature Control
36. 防冷風功能  | Windproof Function
37. 防過熱保護  | Overheat Protection
38. 除霜功能  | Defrost Function
39. 自動清洗功能  | Self Cleaning Function
40. 三相電  | Three Phase
41. 遠端遙控  | Remote Control
42. 靜音模式  | Silent Mode
43. 自動擺風  | Auto Swing
44. 調溫範圍  | Temperature Control Range
45. 送風量  | Air Flow Rate
46. 噪音值  | Noise Level
47. 空調噸數  | Tonnage
48. 能源標章  | Energy Star
1. 冷房能力 | Cooling capacity
2. 落地箱型 | Floor-standing type
3. 水冷式 | Water-cooled type
4. 最小冷房能力 | Minimum cooling capacity
5. 冷凝器 | Condenser
6. 電壓 | Voltage
7. 相位 | Phase
8. 風扇 | Fan
9. 多聯機 | Multi-split unit
10. 箱型冷氣機 | Packaged air conditioner
11. 百頁片維修 | Louver maintenance
12. 渦卷式 | Scroll type
13. 潭恒式 | Reciprocating type
14. 湯恆式 | Rotary type
15. 沉箝式 | Screw type
16. 吸入溫度 | Suction temperature
17. 排氣溫度 | Discharge temperature
18. 壓縮比 | Compression ratio
19. 蒸發溫度 | Evaporation temperature
20. 冷凝溫度 | Condensation temperature
21. 過熱度 | Superheat
22. 亞冷度 | Subcooling
23. 壓力 | Pressure
24. 流量 | Flow rate
25. 噪音 | Noise
26. 冷媒 | Refrigerant
27. 能源效率比 | Energy efficiency ratio
28. 匹數 | Capacity (in tons)
29. 風量 | Airflow
30. 製冷劑 | Refrigerant
31. 功率 | Power
32. 電流 | Current
33. 馬力 | Horsepower
34. 溫控開關 | Thermostatic switch
35. 過載保護裝置 | Overload protection device
36. 濾網 | Filter
37. 定頻 | Fixed frequency
38. 變頻 | Variable frequency
39. 冷媒管 | Refrigerant pipe
40. 室外機 | Outdoor unit
41. 室內機 | Indoor unit
42. 遙控器 | Remote control
43. 自動除霜 | Automatic defrost
44. 自動清洗 | Automatic cleaning
45. 防結露 | Anti-condensation
46. 離子技術 | Ion technology
